id,asins,brand,categories,dateAdded,dateUpdated,ean,features.key,features.value,manufacturer,manufacturerNumber,name,sizes,upc,weight
AVpfX5KQilAPnD_xanq_,,Badia Spice,"Food,Grocery",2017-01-12T05:51:51Z,2017-01-12T05:51:51Z,33844001032,Ingredients,Chopped Oregano.,Badia Spices Co.,MCLANE500249730,Whole Oregano,,33844001032,
AVpjFN65ilAPnD_xKQ1i,,Morton & Bassett,"Food,Grocery",2017-01-12T05:51:50Z,2017-01-12T05:51:50Z,16291441217,Ingredients,"Contains: Turmeric,Fenugreek,Coriander,Mustard Flour,Cumin,Gingerroot,Black Pepper,Allspice,Cayenne and Fennel.",Morton and Bassett,44121,M&b Curry,,16291441217,
AVph33VzilAPnD_x-SDC,,Crown Prince,"Food,Grocery",2017-01-07T20:11:16Z,2017-01-07T20:11:16Z,73230000522,Ingredients,"Whole Oysters,Water,Salt.",Crown Prince,352,Whole Oysters,,73230000522,
AVpgwv5WilAPnD_xw_ye,,Badia,"Food,Grocery",2016-11-07T00:18:58Z,2016-11-07T00:18:58Z,33844005993,Ingredients,"Salt,Sugar,Spices,Including Paprika,Tumeric,Onion,Corn Starch,Garlic,Tricalcium Phosphate (Prevents Caking),Paprika Oleoresin (For Color),And Natural Flavor.",Badia Spices Co.,3384400599,Seasoned Salt,,33844005993,
AVpfEnoOLJeJML431xEE,,Cento,"Food,Grocery",2016-11-07T00:14:33Z,2016-11-07T00:14:33Z,70796444067,Ingredients,"Non Pareil Capers,Water,Salt and Vinegar.",Bellino,,Bellino Nonpareil Cape Roasted 3-ounce Ja Roasted (pack of 12),,70796444067,
AVpfkkMcilAPnD_xeNMt,,Blue Diamond,"Food,Grocery",2017-01-19T18:50:19Z,2017-01-19T18:50:19Z,41570055151,Ingredients,"Almonds,Sugar,Cocoa Powder (processed with Alkali),Corn Maltodextrin,Natural Flavor (Dark Chocolate),Sea Salt and Rebiana (Stevia Extract),.",Blue Diamond Growers,85515,"Blue Diamond Dark Chocolate Almonds, 8 Oz (pack of 6)",,41570055151,
AVpfzpTZLJeJML43EF2A,,Williams,"Food,Grocery",2016-11-05T22:49:37Z,2016-11-05T22:49:37Z,41149011823,Ingredients,"Enriched Flour (Bleached Wheat Flour, Malted Barley Flour, Niacin, Iron, Thiamine Mononitrate, Riboflavin, Folic Acid),Salt,Spices and Color,Dehydrated Onion and Garlic,Natural Flavor.",Williams,231423,"Williams Spicy Wings, 5 Oz (pack of 6)",,41149011823,
AVpgElUIilAPnD_xm_uI,,Marco Polo,"Food,Grocery",2016-11-07T00:22:46Z,2016-11-07T00:22:46Z,6.17E+11,Ingredients,"Sour Cherry Juice,Sugar.",ADRIA IMPORTS INC,,Sour Cherry Syrup,,6.17E+11,
AVpgGxGGilAPnD_xnieK,,Bionaturae,"Food,Grocery",2016-11-15T12:58:09Z,2016-11-15T12:58:09Z,7.99E+11,Ingredients,"Organic Wild Berries (Organic Blackberries, Organic Strawberries, Organic Bilberries, Organic Raspberries),Organic Apple Juice Concentrate,Natural Fruit Pectin,Ascorbic Acid.",Bionaturae,959791,Bionaturae Organic Wild Berry Fruit Spread 9 Oz,,7.99E+11,
AVphPbUbilAPnD_x3C35,,Lay's,"Food,Grocery",2016-11-07T00:20:58Z,2016-11-07T00:20:58Z,28400035033,Ingredients,"Maltodextrin,Salt,Monosodium Glutamate,Dehydrated Garlic,Onion Powder,Dehydrated Onion,Dehydrated Parsley,Partially Hydrogenated Soybean Oil And Cottonseed Oil,Spice,Modified Food Starch,Dextrose,Lactic Acid,Carrageenan,And Artificial Color. Contains A Milk Ingredient.",Frito Lay,2840003503,"Lay's Dip Creations Country Ranch Seasoning Mix, 1 Oz",,28400035033,
AVpfPEvEilAPnD_xXz6W,,Maggi,"Food,Grocery",2017-01-07T20:10:12Z,2017-01-07T20:10:12Z,,Ingredients,"Salt,Cornstarch,Monosodium Glutamate,Sugar,Partially Hydrogenated Palm Oil,Garlic Powder,Onion Powder,and Less than 2 of Dehydrated Chicken**,Turmeric Spices,Chicken Fat**,Disodium Inosinate,Natural Flavor. **Adds Trivial Amounts of Cholesterol.",Nestle,21319,"Maggi Chicken Flavor Bouillon, 3.5 Oz",,28000213190,
AVpfJqySilAPnD_xWCX9,,Polaner,"Food,Grocery",2016-11-07T00:22:02Z,2016-11-07T00:22:02Z,72400006647,Ingredients,"Water*,Orange Peel**,Maltodextrin* (Dietary Fiber),Polydextrose*,Fruit Pectin,Locust Bean Gum*,Citric Acid,Natural Flavor*,Sucrolose* (Splenda Brand),Potassium Sorbate And Sodium Benzoate (to Preserve Freshness),Calcium Chloride*,Yellow #6*. *Not In Regular Preserves. **Adds A Trivial Amount of Sugar.","B&G Foods, Inc.",664,"Polaner Sugar Free Orange Marmalade, 13.5 Oz",,72400006647,
AVpgI4Zj1cnluZ0-xDRx,B00EIHSO0Y,Simply Asia,"Food,grocery",2015-09-13T04:39:44Z,2016-11-03T10:11:32Z,8.54E+11,Ingredients,"Brown Sugar,Sea Salt,Garlic,Spices (Including Red Pepper),Sugar,Onion,Toasted Sesame Seed,Red Bell Pepper,Natural Flavor (Including Smoke),Green Onion,Silicon Dioxide And Calcium Stearate (to Make Free-Flowing),Caramel Color,And Soy Sauce (Wheat, Soybean, Salt),. Contains: Soy And Wheat.","Simply Asia Foods, LLC",MCLANE500750588,Simply Asia‹¨«‹¨« Sweet & Smoky Hibachi Seasoning 3.12 Oz. Bottle,,8.54E+11,0.195 lbs
AVpfS4wt1cnluZ0-iBMP,B000LKXO3O,Simply Organic,"Food,Grocery",2015-09-13T04:39:35Z,2017-09-19T14:40:36Z,89836185457,Ingredients,"Organic Potato Starch,Organic Corn Syrup Solids,Organic Natural Flavors (Organic Turkey and Chicken Flavors,Sea Salt,Organic Gum Arabic),Organic Rice Flour,Sea Salt,Organic Carrot,Organic Onion,Silicon Dioxide,Malt Extract,Organic Sage,Organic",Simply Organic,,Roasted Turkey Gravy,,89836185457,0.01 pounds
